id,spp
1,Tuta absoluta
2,Atractomorpha sinensis
3,Drosophila suzukii
4,Chrysodeixis chalcites
5,Aphis glycines
6,Leucinoides orbonalis
7,Halyomorpha halys
8,Bactrocera oleae
9,Plutella xylostella
11,Opogona sacchari
12,Thaumastocoris peregrinus
13,Riptortus pedestris
16,Mythimna roseilinea
17,Mythimna roseilinea
18,Monosteira unicostata
19,Marasmia exigua
20,Phyllonorycter ringoniella
21,Mythimna loreyi
22,Plutella xylostella
23,Athetis dissimilis
24,Anaphothrips obscurus
25,Agriphila aeneociliella
26,Arimania komaroffi
27,Phenacoccus solenopsis
28,Chilo partellus
30,Homalodisca vitripennis
31,Phenacoccus solenopsis
32,Phenacoccus solenopsis
33,Phtorimaea operculella
34,Phyllonorycter corylifoliella
35,Hypera postica
37,Tetraneura nigriabdominalis
38,Anthonomus eugenii
39,Ceratothripoides claratis
40,Brachycaudus schwartzi
42,Sitobion fragariae
43,Clavigralla species
44,Eutetranychus africanus
45,Bryobia praetiosa
46,Tetranychus kanzawai
47,Rhyncaphytoptus ficifoliae
49,Oligonychus litchii
50,Tetranychus urticae
51,Tetranychus turkestani
52,Tetranychus evansi
53,Tetranychus pueraricola
54,Amphitetranychus viennensis
55,Tetranychus ludeni
56,Tetranychus phaselus
57,Tetranychus piercei
58,Tetranychus truncatus
59,Sitobion miscanthi
